t,mem_avail_mib,mem_free_mib,cached_mib,anon_mib,swap_used_mib,pswpout,pswpin,vllm_anon_mib,vllm_file_mib,vllm_swap_mib,vllm_procs,gpu0,gpu1,gpu2,gpu3,gpu4
17:45:39,9186,430,25201,2636,16383,203675852,134736759,695,1684,7015,6,40397,26240,40397,26240,0
17:45:41,8334,1239,24071,2811,16383,203676335,134744785,701,1866,7009,6,40397,26240,40397,26240,4390
17:45:42,8261,1065,24200,2832,16380,203676335,134749130,703,1931,7007,6,40397,26240,40397,26240,4390
17:45:43,8220,709,24516,2874,16377,203676335,134754745,705,2009,7006,6,40397,26240,40397,26240,4390
17:45:44,8122,413,24713,2960,16373,203676335,134759425,707,2086,7004,6,40397,26240,40397,26240,4390
17:45:45,8100,345,24762,2979,16373,203676335,134762900,709,2162,7002,6,40397,26240,40397,26240,4390
17:45:46,8099,350,24756,2989,16372,203676335,134766713,710,2232,7001,6,40397,26240,40397,26240,4390
17:45:47,8060,367,24697,3028,16372,203676462,134771567,712,2307,6999,6,40397,26240,40397,26240,4390
17:45:48,8249,435,24564,3084,16371,203676503,134777756,715,2420,6996,6,40397,26240,40397,26240,4390
17:45:50,8167,403,24567,3114,16371,203676503,134781322,718,2519,6994,6,40397,26240,40397,26240,8432
17:45:51,8327,237,24975,2934,16436,203731933,134789563,242,2651,7470,6,40397,26240,40397,26240,8764
17:45:54,8438,320,24921,2894,16433,203814513,134830490,249,2873,7464,6,40397,26240,40397,26240,8764
17:45:55,8165,423,24545,3170,16400,203816383,134839125,259,3042,7454,6,40397,26240,40397,26240,8850
17:45:56,8063,271,24594,3266,16383,203817652,134850644,269,3232,7445,6,40397,26240,40397,26240,8958
17:45:57,7978,256,24527,3380,16381,203818496,134881005,308,1061,7406,6,40397,26240,40397,26240,8960
17:45:58,7966,358,24411,3385,16356,203819086,134887207,316,1273,7398,6,40397,26240,40397,26240,8962
17:46:00,7964,252,24515,3344,16356,203819260,134893575,324,1463,7390,6,40397,26240,40397,26240,8964
17:46:01,7835,243,24476,3445,16361,203825372,134906779,319,1628,7396,6,40397,26240,40397,26240,8966
17:46:02,7816,326,24296,3524,16368,203829367,134916160,325,1838,7390,6,40397,26240,40397,26240,8968
17:46:03,7795,342,24309,3493,16348,203830008,134922568,331,2031,7384,6,40397,26240,40397,26240,8974
17:46:04,7788,381,24211,3508,16351,203831040,134927921,337,2235,7379,6,40397,26240,40397,26240,8974
17:46:05,7843,470,24177,3491,16352,203831776,134939693,341,2421,7375,6,40397,26240,40397,26240,8974
17:46:06,7224,272,23756,4081,16358,203832668,134947004,347,2629,7370,6,40397,26240,40397,26240,8974
17:46:08,6643,243,23279,4623,16407,203883810,134957743,282,2740,7436,6,40397,26240,40397,26240,8974
17:46:12,6404,369,22839,4931,16559,203923233,134972445,298,2936,7419,6,40397,26240,40397,26240,8974
17:46:14,6307,481,22631,5036,16509,203923736,134978789,305,3089,7413,6,40397,26240,40397,26240,8974
17:46:15,6236,444,22631,5058,16486,203923927,134984837,325,1769,7395,6,40397,26240,40397,26240,9660
17:46:16,6235,470,22606,5080,16466,203923986,134989912,334,1153,7385,6,40397,26240,40397,26240,9660
17:46:17,6237,206,22900,5081,16459,203937344,134993831,274,1407,7445,6,40397,26240,40397,26240,9660
17:46:19,6586,345,23129,4748,16527,203988620,135004846,340,1561,7379,6,40397,26240,40397,26240,9660
17:46:25,6814,461,23194,4521,16469,204052396,135035387,345,1686,7375,6,40397,26240,40397,26240,9660
17:46:26,6788,496,23131,4552,16461,204052396,135037550,348,1820,7372,6,40397,26240,40397,26240,9660
