t,mem_avail_mib,mem_free_mib,cached_mib,anon_mib,swap_used_mib,pswpout,pswpin,vllm_anon_mib,vllm_file_mib,vllm_swap_mib,vllm_procs,gpu0,gpu1,gpu2,gpu3,gpu4
06:06:12,26082,11128,14355,3539,3015,230731915,151590833,8,7,0,1,0,0,0,0,0
06:06:13,25828,10666,14564,3776,3015,230731915,151590833,243,248,0,1,0,0,0,0,0
06:06:14,25754,10545,14611,3854,3015,230731915,151590833,319,296,0,1,0,0,0,0,0
06:06:15,25678,10432,14648,3924,3015,230731915,151590833,387,308,0,1,0,0,0,0,0
06:06:16,25698,10404,14693,3933,3015,230731915,151590833,389,309,0,1,0,0,0,0,0
06:06:17,25636,10254,14781,3988,3015,230731915,151590833,434,334,0,1,0,0,0,0,0
06:06:18,25564,10153,14810,4029,3015,230731915,151590833,476,337,0,1,0,0,0,0,0
06:06:19,25499,10033,14865,4088,3015,230731915,151590833,535,354,0,1,0,0,0,0,0
06:06:20,25436,9951,14885,4157,3015,230731915,151590833,617,354,0,1,0,0,0,0,0
06:06:22,25082,9593,14889,4369,3015,230731915,151590833,834,360,0,1,3,4,3,4,4
06:06:23,24875,9384,14890,4586,3015,230731915,151590833,1049,360,0,1,3,4,3,4,4
06:06:24,24793,9302,14890,4648,3015,230731915,151590833,1134,360,0,1,3,4,3,4,4
06:06:25,24486,8996,14890,4980,3015,230731915,151590833,1193,361,0,1,3,4,3,4,4
06:06:26,24360,8869,14898,5092,3015,230731915,151590833,1193,361,0,1,3,4,3,4,4
06:06:27,24308,8817,14898,5140,3015,230731915,151590833,1193,361,0,1,3,4,3,4,4
06:06:28,24251,8760,14898,5195,3015,230731915,151590833,1193,361,0,1,3,4,3,4,4
06:06:29,24185,8694,14898,5246,3015,230731915,151590833,1193,361,0,1,3,4,3,4,4
06:06:30,23652,8161,14898,5805,3015,230731915,151590833,1756,717,0,2,3,4,3,4,4
06:06:31,22941,7450,14898,6508,3015,230731915,151590833,1756,717,0,2,3,4,3,4,4
06:06:32,22637,7146,14898,6814,3015,230731915,151590833,1756,717,0,2,3,4,3,4,4
