zeit,worker_pid,gelesen_mib,major_faults,cached_mib,modellzustand
18:23:10,,,,2531,starting
18:23:15,,,,2903,starting
18:23:20,,,,4488,starting
18:23:25,1852073,6,3,8361,starting
18:23:31,1852073,26,6,12031,starting
18:23:36,1852073,582,133,14124,starting
18:23:41,1852073,1485,543,17040,starting
18:23:46,1852073,2329,997,19898,starting
18:23:51,1852073,3169,1257,21679,starting
18:23:56,1852073,4082,1475,23397,starting
18:24:08,1852073,4590,1700,24860,starting
18:24:13,1852073,4901,1829,25776,starting
18:24:18,1852073,5339,1988,26262,starting
18:24:23,1852073,5513,2341,26834,starting
18:24:29,1852073,6071,2676,27293,starting
18:24:34,1852073,6838,3234,25841,starting
18:24:39,1852073,7891,5809,27213,starting
18:24:44,1852073,8810,6274,27132,starting
18:24:49,1852073,10015,6982,27140,starting
18:24:54,1852073,11227,7728,27011,starting
18:24:59,1852073,12504,8450,26753,starting
18:25:04,1852073,13769,9219,26543,starting
18:25:09,1852073,15080,9997,26262,starting
18:25:14,1852073,16383,10559,24401,starting
18:25:19,1852073,17241,11056,23178,starting
18:25:24,1852073,18219,11499,20527,starting
18:25:29,1852073,19444,12212,24297,starting
18:25:34,1852073,20750,12609,24480,starting
18:25:40,1852073,21440,13745,26997,starting
18:25:45,1852073,21571,15327,24547,starting
18:25:50,1852073,21571,15327,20915,starting
18:25:55,1852073,21571,15327,20765,starting
18:26:00,1852073,21571,15330,20379,starting
18:26:05,1852073,21571,15330,19703,starting
18:26:10,1852073,21571,15330,19381,starting
18:26:15,1852073,21571,15330,17720,starting
18:26:20,1852073,21571,15333,18515,starting
18:26:25,1852073,21571,15333,17731,starting
18:26:30,1852073,21571,15334,16848,starting
18:26:35,1852073,21571,15334,17073,starting
18:26:40,1852073,21571,15335,16150,starting
18:26:45,1852073,21571,15335,18439,starting
18:26:50,1852073,21571,15335,21484,starting
18:26:55,1852073,21571,15335,25454,starting
18:27:01,1852073,21571,15335,26133,starting
18:27:06,1852073,21571,15335,26061,starting
18:27:11,1852073,21571,15335,25984,starting
18:27:16,1852073,21571,15335,25933,starting
18:27:21,1852073,21571,15335,25882,starting
18:27:26,1852073,21571,15335,25723,starting
18:27:31,1852073,21571,15335,25693,starting
18:27:36,1852073,21571,15335,25628,starting
18:27:41,1852073,21571,15335,25497,starting
18:27:46,1852073,21571,15335,25587,starting
18:27:51,1852073,21571,15335,25803,starting
18:27:56,1852073,21571,15335,25961,starting
18:28:01,1852073,21571,15335,25817,starting
18:28:06,1852073,21571,15335,25778,starting
18:28:11,1852073,21571,15335,25830,starting
18:28:16,1852073,21571,15335,23514,starting
18:28:21,1852073,21596,16369,23283,starting
18:28:26,1852073,21737,34716,25207,starting
18:28:31,1852073,21949,89184,24663,starting
