shape_k,shape_n,m,kernel,us,gbs,rel_err,ok
1536,5120,5,simt,16.41,269.5,1.08e-03,0
1536,5120,5,wmma,19.89,222.4,3.75e-04,1
1536,5120,5,qpn,12.13,364.6,2.53e-04,1
1536,5120,8,simt,20.66,214.1,1.06e-03,0
1536,5120,8,wmma,20.19,219.1,3.96e-04,1
1536,5120,8,qpn,11.96,369.9,2.58e-04,1
1536,5120,11,wmma,21.24,208.2,3.91e-04,1
1536,5120,11,qpn+simt,60.54,73.1,8.75e-04,1
1536,5120,16,wmma,21.87,202.3,3.88e-04,1
1536,5120,16,qpn_x2,30.58,144.7,2.55e-04,1
4352,5120,5,simt,43.32,289.3,8.85e-04,1
4352,5120,5,wmma,50.21,249.6,3.72e-04,1
4352,5120,5,qpn,25.68,488.1,3.18e-04,1
4352,5120,8,simt,59.43,210.9,8.42e-04,1
4352,5120,8,wmma,50.54,248.0,4.07e-04,1
4352,5120,8,qpn,25.69,487.8,3.09e-04,1
4352,5120,11,wmma,51.39,243.9,4.24e-04,1
4352,5120,11,qpn+simt,63.34,197.9,7.80e-04,1
4352,5120,16,wmma,53.16,235.8,3.86e-04,1
4352,5120,16,qpn_x2,51.31,244.3,3.06e-04,1
5120,8704,5,simt,70.11,357.6,6.56e-04,1
5120,8704,5,wmma,77.89,321.9,4.31e-04,1
5120,8704,5,qpn,35.3,710.1,4.31e-04,1
5120,8704,8,simt,94.04,266.6,7.21e-04,1
5120,8704,8,wmma,77.66,322.8,4.22e-04,1
5120,8704,8,qpn,38.78,646.3,4.22e-04,1
5120,8704,11,wmma,80.7,310.6,4.62e-04,1
5120,8704,11,qpn+simt,91.61,273.6,6.40e-04,1
5120,8704,16,wmma,83.45,300.4,4.61e-04,1
5120,8704,16,qpn_x2,75.19,333.4,4.61e-04,1
5120,4096,5,simt,36.05,327.2,8.00e-04,1
5120,4096,5,wmma,51.65,228.4,3.71e-04,1
5120,4096,5,qpn,30.94,381.3,2.84e-04,1
5120,4096,8,simt,48.84,241.5,1.01e-03,0
5120,4096,8,wmma,52.51,224.6,3.70e-04,1
5120,4096,8,qpn,30.89,381.9,2.86e-04,1
5120,4096,11,wmma,52.21,225.9,3.77e-04,1
5120,4096,11,qpn+simt,58.92,200.2,7.66e-04,1
5120,4096,16,wmma,53.82,219.2,3.89e-04,1
5120,4096,16,qpn_x2,52.25,225.8,2.87e-04,1
5120,2048,5,simt,21.99,268.2,8.13e-04,1
5120,2048,5,wmma,51.73,114.0,3.64e-04,1
5120,2048,5,qpn,26.66,221.2,3.03e-04,1
5120,2048,8,simt,30.05,196.3,8.58e-04,1
5120,2048,8,wmma,50.88,115.9,3.89e-04,1
5120,2048,8,qpn,22.3,264.5,2.95e-04,1
5120,2048,11,wmma,51.28,115.0,4.11e-04,1
5120,2048,11,qpn+simt,59.02,99.9,7.74e-04,1
5120,2048,16,wmma,52.36,112.6,3.84e-04,1
5120,2048,16,qpn_x2,44.51,132.5,2.96e-04,1
